nombre	trim	estado	municipio	isla	comunidad
Deià	Deia	Capital de municipio	Deià	Mallorca	Illes Balears
Eivissa	Eivissa	Capital de municipio	Eivissa	Eivissa	Illes Balears
El Fonduco	El_Fonduco	Localidad	Es Castell	Mallorca	Illes Balears
El Pilar de la Mola	El_Pilar_de_la_Mola	Localidad	Formentera	Formentera	Illes Balears
El Port (Port de Sóller)	El_Port-Port_de_Soller	Localidad	Sóller	Mallorca	Illes Balears
El Toro	El_Toro	Localidad	Calvià	Mallorca	Illes Balears
El Turo	El_Turo	Localidad	Palma	Mallorca	Illes Balears
Els Pelats	Els_Pelats	Localidad	Capdepera	Mallorca	Illes Balears
Es Caló	Es_Calo	Localidad	Formentera	Formentera	Illes Balears
Es Camp de Mar	Es_Camp_de_Mar	Localidad	Andratx	Mallorca	Illes Balears
Es Capdellà (Capdellá)	Es_Capdella-Capdella	Localidad	Calvià	Mallorca	Illes Balears
Es Carregador	Es_Carregador	Localidad	Capdepera	Mallorca	Illes Balears
Es Castell	Es_Castell	Capital de municipio	Es Castell	Mallorca	Illes Balears
Es Caulls	Es_Caulls	Localidad	Marratxí	Mallorca	Illes Balears
Es Garrovers-Son Daviu Nou-Ses Llegitimes	Es_Garrovers-Son_Daviu_Nou-Ses_Llegitimes	Localidad	Marratxí	Mallorca	Illes Balears
Es Llombards	Es_Llombards	Localidad	Santanyí	Mallorca	Illes Balears
Es Migjorn Gran	Es_Migjorn_Gran	Capital de municipio	Es Migjorn Gran	Mallorca	Illes Balears
Es Nogueral	Es_Nogueral	Localidad	Valldemossa	Mallorca	Illes Balears
Es Pas de Vallgornera	Es_Pas_de_Vallgornera	Localidad	Llucmajor	Mallorca	Illes Balears
Es Pil·larí	Es_Pil--lari	Localidad	Palma	Mallorca	Illes Balears
Es Pinaret	Es_Pinaret	Localidad	Palma	Mallorca	Illes Balears
Es Pla de Na Tesa	Es_Pla_de_Na_Tesa	Localidad	Marratxí	Mallorca	Illes Balears
Es Pont d'Inca	Es_Pont_d__Inca	Localidad	Marratxí	Mallorca	Illes Balears
Es Pont d'Inca Nou	Es_Pont_d__Inca_Nou	Localidad	Marratxí	Mallorca	Illes Balears
Es Port des Canonge	Es_Port_des_Canonge	Localidad	Banyalbufar	Mallorca	Illes Balears
Es Pujols	Es_Pujols	Localidad	Formentera	Formentera	Illes Balears
Es Secar de la Real	Es_Secar_de_la_Real	Localidad	Palma	Mallorca	Illes Balears
Escorca	Escorca	Municipio	Escorca	Mallorca	Illes Balears
Esporles	Esporles	Capital de municipio	Esporles	Mallorca	Illes Balears
Establiments Nou	Establiments_Nou	Localidad	Palma	Mallorca	Illes Balears
Establiments Vell	Establiments_Vell	Localidad	Palma	Mallorca	Illes Balears
Estellencs	Estellencs	Capital de municipio	Estellencs	Mallorca	Illes Balears
Felanitx	Felanitx	Capital de municipio	Felanitx	Mallorca	Illes Balears
Figueral-Can Farineta	Figueral-Can_Farineta	Localidad	Marratxí	Mallorca	Illes Balears
Font de Sa Cala	Font_de_Sa_Cala	Localidad	Capdepera	Mallorca	Illes Balears
Formentera	Formentera	Municipio	Formentera	Formentera	Illes Balears
Fornalutx	Fornalutx	Capital de municipio	Fornalutx	Mallorca	Illes Balears
Galatzó	Galatzo	Localidad	Calvià	Mallorca	Illes Balears
Galilea	Galilea	Localidad	Puigpunyent	Mallorca	Illes Balears
Gènova	Genova	Localidad	Palma	Mallorca	Illes Balears
Inca	Inca	Capital de municipio	Inca	Mallorca	Illes Balears
Jornets	Jornets	Localidad	Sencelles	Mallorca	Illes Balears
La Cabaneta (Sa Cabaneta)	La_Cabaneta-Sa_Cabaneta	Capital de municipio	Marratxí	Mallorca	Illes Balears
La Garriga	La_Garriga	Localidad	Palma	Mallorca	Illes Balears
La Savina	La_Savina	Localidad	Formentera	Formentera	Illes Balears
Las Maravillas	Las_Maravillas	Localidad	Palma	Mallorca	Illes Balears
Las Palmeras	Las_Palmeras	Localidad	Pollença	Mallorca	Illes Balears
Les Palmeres	Les_Palmeres	Localidad	Llucmajor	Mallorca	Illes Balears
L'Horta	L__Horta	Localidad	Sóller	Mallorca	Illes Balears
Lloret de Vistalegre	Lloret_de_Vistalegre	Capital de municipio	Lloret de Vistalegre	Mallorca	Illes Balears
Lloseta	Lloseta	Capital de municipio	Lloseta	Mallorca	Illes Balears
Llubí	Llubi	Capital de municipio	Llubí	Mallorca	Illes Balears
Lluc	Lluc	Capital de municipio	Escorca	Mallorca	Illes Balears
Llucmajor (Centro Urbano)	Llucmajor	Capital de municipio	Llucmajor	Mallorca	Illes Balears
Llucmajor (Lluchmayor)	Llucmajor-Lluchmayor	Municipio	Llucmajor (Lluchmayor)	Mallorca	Illes Balears
Magaluf	Magaluf	Localidad	Calvià	Mallorca	Illes Balears
Maioris Décima	Maioris_Decima	Localidad	Llucmajor	Mallorca	Illes Balears
Mal Pas - Bonaire	Mal_Pas_Bonaire	Localidad	Alcúdia	Mallorca	Illes Balears
Manacor	Manacor	Capital de municipio	Manacor	Mallorca	Illes Balears
Mancor de la Vall	Mancor_de_la_Vall	Capital de municipio	Mancor de la Vall	Mallorca	Illes Balears
Maria de la Salut	Maria_de_la_Salut	Capital de municipio	Maria de la Salut	Mallorca	Illes Balears
Marina Manresa	Marina_Manresa	Localidad	Alcúdia	Mallorca	Illes Balears
Marratxí (Marrachí)	Marratxi-Marrachi	Municipio	Marratxí (Marrachí)	Mallorca	Illes Balears
Marratxinet	Marratxinet	Localidad	Marratxí	Mallorca	Illes Balears
Montuïri	Montuiri	Capital de municipio	Montuïri	Mallorca	Illes Balears
Montuïri (Montuiri)	Montuiri-Montuiri	Municipio	Montuïri (Montuiri)	Mallorca	Illes Balears
Moscari	Moscari	Localidad	Selva	Mallorca	Illes Balears
Muro	Muro	Capital de municipio	Muro	Mallorca	Illes Balears
Na Taconera	Na_Taconera	Localidad	Capdepera	Mallorca	Illes Balears
Palma	Palma	Capital de municipio	Palma	Mallorca	Illes Balears
Palma (Palma de Mallorca)	Palma-Palma_de_Mallorca	Municipio	Palma (Palma de Mallorca)	Mallorca	Illes Balears
Palmanova	Palmanova	Localidad	Calvià	Mallorca	Illes Balears
Palmanyola	Palmanyola	Localidad	Bunyola	Mallorca	Illes Balears
Pedruscada	Pedruscada	Localidad	Capdepera	Mallorca	Illes Balears
Peguera	Peguera	Localidad	Calvià	Mallorca	Illes Balears
Petra	Petra	Capital de municipio	Petra	Mallorca	Illes Balears
Pina	Pina	Localidad	Algaida	Mallorca	Illes Balears
Planera-Ses Trempes-Son Daviu	Planera-Ses_Trempes-Son_Daviu	Localidad	Marratxí	Mallorca	Illes Balears
Platja d'Alcúdia	Platja_d__Alcudia	Localidad	Alcúdia	Mallorca	Illes Balears
Platja de Muro	Platja_de_Muro	Localidad	Muro	Mallorca	Illes Balears
Polígon Industrial de Son Castello	Poligon_Industrial_de_Son_Castello	Localidad	Palma	Mallorca	Illes Balears
